cam_ID,tagged_n,total_n
3,15,57
3,0,2
4,0,2
4,0,30
7,0,27
7,14,47
7,15,20
7,0,12
7,0,10
7,0,35
7,0,3
8,8,105
10,0,8
10,11,24
10,0,2
10,7,34
10,7,31
10,0,1
10,0,11
10,8,10
10,0,2
10,2,19
10,0,1
10,0,25
10,19,103
10,24,40
10,2,19
10,2,6
10,3,6
11,3,45
11,0,60
11,4,30
11,0,57
11,2,20
11,3,7
11,1,28
11,3,23
11,2,5
11,0,2
11,0,3
11,0,4
14,0,1
14,0,8
14,0,1
14,3,3
14,0,1
14,0,2
14,0,2
14,26,35
14,1,1
14,0,2
14,3,4
14,0,1
14,0,34
14,0,2
14,0,3
14,0,8
14,2,4
14,0,1
14,2,13
14,0,2
16,1,3
10B,0,1
10B,0,1
10B,28,66
10B,5,28
10B,3,19
10B,1,2
10B,6,15
10B,0,1
10B,1,5
10B,11,23
10B,2,7
10B,2,12
10B,1,1
10B,0,4
10B,2,4
10B,0,2
10B,0,1
10B,5,12
10B,0,13
10B,0,6
10B,1,1
10B,2,19
10B,0,2
10B,0,1
10B,0,4
10B,3,16
10B,3,7
10B,0,1
10B,2,3
10B,0,8
10B,0,10
10B,0,1
10B,3,39
10B,3,21
10B,0,4
10B,0,1
10B,0,10
10B,0,5
10B,1,1
10B,0,4
10B,0,4
10B,0,3
10B,2,5
10B,4,17
10B,0,2
10B,0,2
10B,0,7
10B,0,30
10B,0,31
12B,2,10
12B,0,9
12B,0,1
12B,0,4
12B,2,8
12B,0,2
12B,0,44
13B,0,18
13B,0,5
13B,0,3
13B,15,17
13B,8,15
13B,0,3
15B,0,14
15B,0,3
15B,0,10
15B,0,4
15B,0,2
16B,6,67
16B,27,96
16B,10,65
16B,4,67
16B,4,34
16B,11,44
17B,23,37
17B,0,9
17B,0,67
17C,1,7
17C,0,2
18B,0,12
18B,0,5
18B,0,2
18B,0,8
18B,0,7
18B,0,11
18B,0,5
18B,0,4
1C,28,134
1C,12,12
1C,0,3
1C,0,3
1C,13,18
1C,11,12
1D,0,22
1D,0,13
1D,0,2
1D,0,2
1D,0,36
1D,0,41
1D,0,37
1D,0,36
1D,0,8
1D,0,3
1D,0,2
1D,0,9
1D,0,1
1D,0,1
1D,0,21
1D,0,4
1D,0,5
1D,0,5
1D,0,1
1D,0,3
1D,0,23
1D,0,3
1D,0,5
1D,0,2
20B,0,13
20B,4,4
20B,1,14
20B,0,6
20B,0,4
20B,0,3
20B,0,6
20B,0,1
20B,0,5
20B,0,1
20B,0,4
20B,4,15
22B,65,98
22B,49,58
22B,0,1
22B,0,10
23B,0,13
23B,0,16
23B,0,1
2B,2,28
2B,21,108
2B,1,11
2C,0,20
3B,0,7
3B,1,1
3B,0,5
3B,6,25
3B,1,29
3B,1,11
3B,9,43
3B,49,110
3B,3,42
3B,0,1
3B,10,12
3B,1,1
3B,1,3
3B,0,17
3B,22,29
3B,9,30
3B,0,1
3B,0,2
3B,0,2
3C,0,1
3C,0,28
3C,18,44
3C,25,60
3C,83,140
3C,31,45
3C,2,33
3C,0,2
3C,1,1
3C,7,12
3C,0,2
3C,13,15
3C,6,11
3C,0,1
3C,0,2
4B,3,15
4B,0,43
4B,0,9
4B,0,3
4B,0,20
4B,0,17
4B,0,11
4B,0,27
4B,0,36
4B,0,3
4B,0,8
4B,0,19
4B,0,9
4C,0,1
5B,0,1
5B,0,1
5B,0,12
5B,0,9
5B,0,2
5B,0,20
5B,0,38
5B,16,16
5B,35,48
5B,0,17
5B,0,47
6B,0,13
6B,0,8
6B,0,2
6B,0,1
6B,34,133
6B,0,1
6B,2,8
6B,1,74
6B,16,326
6B,0,35
6B,0,6
6B,0,63
6B,6,97
6B,7,19
6B,0,15
6B,10,40
6B,3,3
6B,0,10
6B,1,2
6B,35,129
6B,56,198
6B,14,36
6B,0,14
6B,4,48
6B,13,100
6B,27,359
6B,0,13
6B,1,693
6B,5,31
6B,0,82
8B,5,43
8B,0,1
8B,0,28
8B,0,12
8B,2,18
8B,0,34
8B,0,1
8B,0,13
8B,7,54
9B,0,3
